,Timestamp,Ping (ms)
99,Sat Feb 11 10:39:00 2023,24.321317672729492
100,Sat Feb 11 10:39:01 2023,24.161100387573242
101,Sat Feb 11 10:39:02 2023,24.963855743408203
102,Sat Feb 11 10:39:03 2023,31.511306762695312
103,Sat Feb 11 10:39:04 2023,25.155305862426758
104,Sat Feb 11 10:39:05 2023,30.984163284301758
105,Sat Feb 11 10:39:06 2023,23.421049118041992
106,Sat Feb 11 10:39:07 2023,10.923385620117188
107,Sat Feb 11 10:39:08 2023,31.055927276611328
108,Sat Feb 11 10:39:09 2023,30.86233139038086
109,Sat Feb 11 10:39:10 2023,30.88831901550293
110,Sat Feb 11 10:39:11 2023,46.387434005737305
111,Sat Feb 11 10:39:12 2023,24.05238151550293
112,Sat Feb 11 10:39:13 2023,31.927824020385742
113,Sat Feb 11 10:39:14 2023,23.02074432373047
114,Sat Feb 11 10:39:15 2023,23.47278594970703
115,Sat Feb 11 10:39:16 2023,46.773672103881836
116,Sat Feb 11 10:39:17 2023,24.413108825683594
117,Sat Feb 11 10:39:18 2023,11.011838912963867
118,Sat Feb 11 10:39:19 2023,24.276018142700195
119,Sat Feb 11 10:39:21 2023,24.372100830078125
120,Sat Feb 11 10:39:22 2023,11.009931564331055
121,Sat Feb 11 10:39:23 2023,10.162591934204102
122,Sat Feb 11 10:39:24 2023,9.813070297241211
123,Sat Feb 11 10:39:25 2023,9.512901306152344
124,Sat Feb 11 10:39:26 2023,10.008573532104492
125,Sat Feb 11 10:39:27 2023,46.21315002441406
126,Sat Feb 11 10:39:28 2023,24.210214614868164
127,Sat Feb 11 10:39:29 2023,10.278940200805664
128,Sat Feb 11 10:39:30 2023,29.02698516845703
129,Sat Feb 11 10:39:31 2023,23.114442825317383
130,Sat Feb 11 10:39:32 2023,24.02472496032715
131,Sat Feb 11 10:39:33 2023,45.44377326965332
132,Sat Feb 11 10:39:34 2023,47.0120906829834
133,Sat Feb 11 10:39:35 2023,24.206161499023438
134,Sat Feb 11 10:39:36 2023,24.00493621826172
135,Sat Feb 11 10:39:37 2023,10.71310043334961
136,Sat Feb 11 10:39:38 2023,10.578155517578125
137,Sat Feb 11 10:39:39 2023,19.792556762695312
138,Sat Feb 11 10:39:40 2023,13.17453384399414
139,Sat Feb 11 10:39:41 2023,11.01064682006836
140,Sat Feb 11 10:39:42 2023,12.830972671508789
141,Sat Feb 11 10:39:43 2023,10.559797286987305
142,Sat Feb 11 10:39:44 2023,10.009765625
143,Sat Feb 11 10:39:45 2023,13.67950439453125
144,Sat Feb 11 10:39:46 2023,24.12104606628418
145,Sat Feb 11 10:39:47 2023,11.451482772827148
146,Sat Feb 11 10:39:48 2023,23.937463760375977
147,Sat Feb 11 10:39:49 2023,10.008573532104492
148,Sat Feb 11 10:39:50 2023,25.013446807861328
149,Sat Feb 11 10:39:51 2023,9.860515594482422
150,Sat Feb 11 10:39:52 2023,25.02274513244629
151,Sat Feb 11 10:39:53 2023,29.39915657043457
152,Sat Feb 11 10:39:54 2023,23.005008697509766
153,Sat Feb 11 10:39:55 2023,9.66787338256836
154,Sat Feb 11 10:39:56 2023,24.164915084838867
155,Sat Feb 11 10:39:58 2023,9.505748748779297
156,Sat Feb 11 10:39:59 2023,24.20520782470703
157,Sat Feb 11 10:40:00 2023,10.104656219482422
158,Sat Feb 11 10:40:01 2023,10.512113571166992
159,Sat Feb 11 10:40:02 2023,10.251998901367188
160,Sat Feb 11 10:40:03 2023,9.997844696044922
161,Sat Feb 11 10:40:04 2023,24.95265007019043
162,Sat Feb 11 10:40:05 2023,11.904478073120117
163,Sat Feb 11 10:40:06 2023,11.00015640258789
164,Sat Feb 11 10:40:07 2023,11.47317886352539
165,Sat Feb 11 10:40:08 2023,24.183988571166992
166,Sat Feb 11 10:40:09 2023,23.632526397705078
167,Sat Feb 11 10:40:10 2023,23.484468460083008
168,Sat Feb 11 10:40:11 2023,23.602008819580078
169,Sat Feb 11 10:40:12 2023,45.8378791809082
170,Sat Feb 11 10:40:13 2023,23.593902587890625
171,Sat Feb 11 10:40:14 2023,23.621559143066406
172,Sat Feb 11 10:40:15 2023,9.87863540649414
173,Sat Feb 11 10:40:16 2023,24.847984313964844
174,Sat Feb 11 10:40:17 2023,10.122060775756836
175,Sat Feb 11 10:40:18 2023,30.921220779418945
176,Sat Feb 11 10:40:19 2023,25.022029876708984
177,Sat Feb 11 10:40:20 2023,10.405302047729492
178,Sat Feb 11 10:40:21 2023,46.402931213378906
179,Sat Feb 11 10:40:22 2023,32.03177452087402
180,Sat Feb 11 10:40:23 2023,9.972333908081055
181,Sat Feb 11 10:40:24 2023,10.008573532104492
182,Sat Feb 11 10:40:25 2023,31.127452850341797
183,Sat Feb 11 10:40:26 2023,31.95023536682129
184,Sat Feb 11 10:40:27 2023,47.31321334838867
185,Sat Feb 11 10:40:28 2023,9.993791580200195
186,Sat Feb 11 10:40:29 2023,24.28746223449707
187,Sat Feb 11 10:40:30 2023,45.72582244873047
188,Sat Feb 11 10:40:32 2023,22.624969482421875
189,Sat Feb 11 10:40:33 2023,23.020267486572266
190,Sat Feb 11 10:40:34 2023,24.021625518798828
191,Sat Feb 11 10:40:35 2023,9.759664535522461
192,Sat Feb 11 10:40:36 2023,10.883569717407227
193,Sat Feb 11 10:40:37 2023,31.023740768432617
194,Sat Feb 11 10:40:38 2023,10.119199752807617
195,Sat Feb 11 10:40:39 2023,31.068086624145508
196,Sat Feb 11 10:40:40 2023,12.306690216064453
197,Sat Feb 11 10:40:41 2023,11.215448379516602
198,Sat Feb 11 10:40:42 2023,45.96090316772461
199,Sat Feb 11 10:40:43 2023,46.999216079711914
200,Sat Feb 11 10:40:44 2023,23.633718490600586
201,Sat Feb 11 10:40:45 2023,23.02098274230957
202,Sat Feb 11 10:40:46 2023,25.98714828491211
203,Sat Feb 11 10:40:47 2023,23.72574806213379
204,Sat Feb 11 10:40:48 2023,23.908138275146484
205,Sat Feb 11 10:40:49 2023,24.16706085205078
206,Sat Feb 11 10:40:50 2023,30.884742736816406
207,Sat Feb 11 10:40:51 2023,30.49921989440918
208,Sat Feb 11 10:40:52 2023,31.080245971679688
209,Sat Feb 11 10:40:53 2023,10.71310043334961
210,Sat Feb 11 10:40:54 2023,16.01386070251465
211,Sat Feb 11 10:40:55 2023,11.853218078613281
212,Sat Feb 11 10:40:56 2023,23.769617080688477
213,Sat Feb 11 10:40:57 2023,23.672819137573242
214,Sat Feb 11 10:40:58 2023,23.81277084350586
215,Sat Feb 11 10:40:59 2023,45.84455490112305
216,Sat Feb 11 10:41:00 2023,24.015426635742188
217,Sat Feb 11 10:41:01 2023,24.01876449584961
218,Sat Feb 11 10:41:02 2023,23.871898651123047
219,Sat Feb 11 10:41:04 2023,11.000394821166992
220,Sat Feb 11 10:41:05 2023,13.469934463500977
221,Sat Feb 11 10:41:06 2023,31.139373779296875
222,Sat Feb 11 10:41:07 2023,9.519100189208984
223,Sat Feb 11 10:41:08 2023,10.129690170288086
224,Sat Feb 11 10:41:09 2023,10.045051574707031
225,Sat Feb 11 10:41:10 2023,10.632753372192383
226,Sat Feb 11 10:41:11 2023,9.421110153198242
227,Sat Feb 11 10:41:12 2023,47.515869140625
228,Sat Feb 11 10:41:13 2023,46.92840576171875
229,Sat Feb 11 10:41:14 2023,46.61107063293457
230,Sat Feb 11 10:41:15 2023,9.939908981323242
231,Sat Feb 11 10:41:16 2023,47.01566696166992
232,Sat Feb 11 10:41:17 2023,9.768247604370117
233,Sat Feb 11 10:41:18 2023,30.686616897583008
234,Sat Feb 11 10:41:19 2023,23.649215698242188
235,Sat Feb 11 10:41:20 2023,32.03749656677246
236,Sat Feb 11 10:41:21 2023,47.95360565185547
237,Sat Feb 11 10:41:22 2023,46.97275161743164
238,Sat Feb 11 10:41:23 2023,10.421276092529297
239,Sat Feb 11 10:41:24 2023,23.021221160888672
240,Sat Feb 11 10:41:25 2023,24.024009704589844
241,Sat Feb 11 10:41:26 2023,31.420230865478516
242,Sat Feb 11 10:41:27 2023,23.46062660217285
243,Sat Feb 11 10:41:28 2023,10.009527206420898
244,Sat Feb 11 10:41:29 2023,46.15473747253418
245,Sat Feb 11 10:41:30 2023,13.010978698730469
246,Sat Feb 11 10:41:31 2023,32.029151916503906
247,Sat Feb 11 10:41:32 2023,26.558637619018555
248,Sat Feb 11 10:41:34 2023,73.14634323120117
249,Sat Feb 11 10:41:35 2023,46.663761138916016
250,Sat Feb 11 10:41:36 2023,11.013031005859375
251,Sat Feb 11 10:41:37 2023,24.019241333007812
252,Sat Feb 11 10:41:38 2023,9.850025177001953
253,Sat Feb 11 10:41:39 2023,30.98750114440918
254,Sat Feb 11 10:41:40 2023,46.91791534423828
255,Sat Feb 11 10:41:41 2023,23.816585540771484
256,Sat Feb 11 10:41:42 2023,48.033952713012695
257,Sat Feb 11 10:41:43 2023,31.930208206176758
258,Sat Feb 11 10:41:44 2023,24.672508239746094
259,Sat Feb 11 10:41:45 2023,32.34243392944336
260,Sat Feb 11 10:41:46 2023,23.987770080566406
